Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.05272,0.20013,1.7214E-06,0,0,0,0.62,0.0014154,-8.2759E-05,-1.9968E-08,0.0023701,3.238E-09,0.0022774,0,0,0,0,0,0,package://bipedal_new/meshes/base_link.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://bipedal_new/meshes/base_link.STL,,base_link-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_r,0.0032326,-8.9496E-05,0.066165,0,0,0,0.536,0.00021465,-2.4475E-07,-2.2372E-07,0.00012018,3.0046E-07,0.00012408,0,0,0,0,0,0,package://bipedal_new/meshes/hip_r.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/hip_r.STL,,hip_r-2,Origin_hip_r,,hip_r,fixed,-0.09755,0.01,0.22494,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
hip1_r,0.050012,-8.4178E-05,0.00066363,0,0,0,0.573,0.00013072,3.5562E-07,-3.3092E-06,0.00015128,-2.3793E-07,0.00024737,0,0,0,0,0,0,package://bipedal_new/meshes/hip1_r.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/hip1_r.STL,,hip1_r-2,Origin_hip1_r,Axis_hip1_r,hip1_r,revolute,0.02195,0,0.06625,0,0,0,hip_r,1,0,0,0,0,0,0,,,,,,,,
thigh_r,-6.2369E-05,-0.021371,0.039555,0,0,0,0.9105,0.001452,1.5255E-08,-3.236E-07,0.00038047,0.00020329,0.0014985,0,0,0,0,0,0,package://bipedal_new/meshes/thigh_r.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/thigh_r.STL,,thight_r-2,Origin_thigh_r,Axis_thigh_r,thigh_r,revolute,0.05325,0,0.019903,0,0,0,hip1_r,0,0,1,0,0,0,0,,,,,,,,
calf_r,1.5223E-05,-0.028045,-0.16158,0,0,0,0.555,0.001409,-6.9197E-08,-1.1379E-06,0.0014225,-9.5527E-05,8.2506E-05,0,0,0,0,0,0,package://bipedal_new/meshes/calf_r.STL,1,1,1,1,0,0,0,0,0,0,package://bipedal_new/meshes/calf_r.STL,,calf_r-2,Origin_calf_r,Axis_calf_r,calf_r,revolute,0,-0.215,0.044042,-1.5708,0,0,thigh_r,0,1,0,0,0,0,0,,,,,,,,
wheel_r,2.498E-16,-0.010766,-6.4115E-15,0,0,0,0.2805,0.00029524,1.6111E-18,2.1558E-19,0.00057738,-9.0456E-19,0.00029524,0,0,0,0,0,0,package://bipedal_new/meshes/wheel_r.STL,0.15294,0.15294,0.15294,1,0,0,0,0,0,0,package://bipedal_new/meshes/wheel_r.STL,,wheel_r-2,Origin_wheel_r,Axis_wheel_r,wheel_r,continuous,0,-0.037855,-0.215,0,0,0,calf_r,0,1,0,,,,,,,,,,,,
hip_l,0.0032326,-8.9496E-05,-0.046335,0,0,0,0.536,0.00021465,-2.4475E-07,-2.2372E-07,0.00012018,3.0046E-07,0.00012408,0,0,0,0,0,0,package://bipedal_new/meshes/hip_l.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/hip_l.STL,,hip_l-2,Origin_hip_l,,hip_l,fixed,-0.09755,0.01,0.22494,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
hip1_l,0.050012,-8.4172E-05,-0.00066363,0,0,0,0.573,0.00013072,3.5551E-07,3.3093E-06,0.00015128,2.3794E-07,0.00024737,0,0,0,0,0,0,package://bipedal_new/meshes/hip1_l.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/hip1_l.STL,,hip1_l-2,Origin_hip1_l,Axis_hip1_l,hip1_l,revolute,0.02195,0,-0.04625,0,0,0,hip_l,1,0,0,0,0,0,0,,,,,,,,
thigh_l,-6.2397E-05,-0.021371,-0.039555,0,0,0,0.9105,0.001452,1.5171E-08,3.2362E-07,0.00038047,-0.0002033,0.0014985,0,0,0,0,0,0,package://bipedal_new/meshes/thigh_l.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://bipedal_new/meshes/thigh_l.STL,,thight1_l-2,Origin_thigh_l,Axis_thigh_l,thigh_l,revolute,0.05325,0,-0.019903,0,0,0,hip1_l,0,0,1,0,0,0,0,,,,,,,,
calf_l,1.5713E-05,-0.028045,0.16157,0,0,0,0.555,0.001409,-7.0302E-08,1.1423E-06,0.0014225,9.5525E-05,8.2518E-05,0,0,0,0,0,0,package://bipedal_new/meshes/calf_l.STL,1,1,1,1,0,0,0,0,0,0,package://bipedal_new/meshes/calf_l.STL,,calf_l-2,Origin_calf_l,Axis_calf_l,calf_l,revolute,0,-0.215,-0.044042,1.5708,0,0,thigh_l,0,1,0,0,0,0,0,,,,,,,,
